,Video_Title,View_Count,Like_Count,Comment_Count
91,Why Data Analysts Hate Using Excel,25823,965,144
92,Select Statement in MySQL | Beginner MySQL Series,304386,3897,141
93,Installing MySQL and Creating Databases | MySQL for Beginners,887286,11622,1228
94,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,26362,993,12
95,How to Start a Data YouTube Channel,9528,429,47
96,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,5150,239,11
97,Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,18579,691,253
98,Data Analyst vs Business Analyst,111131,6265,47
99,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,32262,856,214
100,#DataAnalysis #DataAnalyst #DataRealities,27750,1728,25
101,#DataAnalyst #DataCareers #DataAnalysis,17003,1296,32
102,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",37106,797,43
103,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,8985,285,21
104,#Salary #DataAnalyst #SalaryNegotiation,13805,959,7
105,AI and Analytics with SAS | SAS Explore Recap,21451,488,31
106,My Very First Video,9165,499,29
107,#DataAnalyst #CareerPath,51450,3641,26
108,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",47104,1153,53
109,#Excel #DataAnalyst #DataAnalysis,15628,1225,20
110,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",46678,1633,101
111,#DataAnalysis #DataAnalyst,20464,1480,23
112,Hard Skills vs Soft Skills in the Data World | Which is More Important?,15530,698,30
113,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",44427,1929,112
114,#DataAnalyst #DataAnalysis #Promotion,10727,633,10
115,#DataAnalyst #DataAnalysis,20507,1384,54
116,Regular Expression Use Cases in Python,10684,255,21
117,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,8495,322,25
118,#DataAnalystSalary #DataAnalysis,43646,3280,48
119,How to Work with Recruiters on LinkedIn,45803,2236,85
120,#dataanalysis #dataportfolio,32356,2834,25
121,#wife #careerchange #dataanalysis,20620,1932,51
122,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,7854,743,46
123,Regular Expression Character Classes in Python,13022,222,13
124,#Recruiters #dataanalysis #data,16646,1144,24
125,Regular Expression Metacharacters in Python,11317,277,9
126,How much do Data Analysts make? #dataanalyst #dataanalystsalary,21602,834,45
127,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,53556,3079,46
128,Regular Expression Methods in Python,18946,400,14
129,What are Hiring Managers Looking For? | Nail the Interview Process!,38895,1443,71
130,Scraping Data from a Real Website | Web Scraping in Python,603577,10828,421
131,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,233607,6587,120
132,Find and Find_All | Web Scraping in Python,81428,2087,36
133,500k Livestream!!,6277,384,24
134,BeautifulSoup + Requests | Web Scraping in Python,192912,3418,72
135,Inspecting Web Pages with HTML | Web Scraping in Python,79142,1939,39
136,Best Places to Find Datasets for Your Projects,199540,5064,94
137,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,174195,3953,226
138,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,10260,365,20
139,What is Microsoft Fabric? | New Data Analytics Platform!,290891,5565,156
140,Data Cleaning in Pandas | Python Pandas Tutorials,387456,9311,454
141,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,58939,1886,52
142,State of AI in Analytics | Will AI be the End of Data Analysts?,46386,1379,377
143,Google Bard Got An Upgrade! + Google's New AI Announcements!,33375,799,80
144,Creating Visualizations using Pandas Library | Python Pandas Tutorials,86020,1897,45
145,Merging DataFrames in Pandas | Python Pandas Tutorials,136985,2971,82
146,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,10317,340,27
147,How to Integrate ChatGPT in Jupyter Notebooks for Free!,63543,1234,60
148,7 Ways to Use ChatGPT for Analytics | Webinar,39257,1079,31
149,Google Business Intelligence Professional Certification Review,45785,1244,73
150,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,157329,4470,410
151,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,109343,2673,129
152,Top 5 Biggest Mistakes Beginner Data Analysts Make,39661,1794,82
153,Indexes in Pandas | Python Pandas Tutorials,70054,1589,50
154,Create the Perfect Data Analyst Resume | Free Templates!,222930,6157,246
155,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,113228,2359,66
156,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,11202,395,33
157,Reading in Files in Pandas | Python Pandas Tutorials,230585,3756,115
158,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,76312,1685,90
159,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,447780,8314,222
160,FREE Data Analyst Bootcamp!!,1858686,45728,1737
161,How to Become a Data Analyst in 2023 (Completely FREE!),1306098,43278,1301
162,Live Portfolio Review with Alex the Analyst!  | Live Webinar,17768,633,23
163,DIY Data Analyst Curriculum using Udemy (Under $75),40979,1474,120
164,Reviewing Maven Analytics Free Portfolio Website,27727,815,48
165,5 Study Hacks for Beginner Data Analysts! | Live Webinar,46572,1358,36
166,DIY Data Analyst Curriculum using Coursera in 2023,64860,3020,222
167,Building a BMI Calculator with Python | Python Projects for Beginners,94250,1924,88
168,"Reading, Writing, and Appending Files in Python | Python for Beginners",10419,304,13
169,Why I Quit my 125k Analytics Job,158074,8718,858
170,Data Analyst Q/A Livestream + Special Guest! | December Livestream,5097,166,15
171,Converting Data Types in Python | Python for Beginners,54842,1462,38
172,Functions in Python | Python for Beginners,83361,1927,40
173,While Loops in Python | Python for Beginners,83544,2074,35
174,For Loops in Python | Python for Beginners,77690,1748,31
175,Data Analyst Q/A Livestream | November Livestream,6300,200,18
176,If Else Statements in Python | Python for Beginners,65395,1629,31
177,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",66641,1677,22
178,Data Types in Python | Python for Beginners,153046,3446,83
179,Data Analyst Q/A Livestream | October Livestream,5731,182,11
180,Variables in Python | Python for Beginners,145364,3076,73
181,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,5276,244,23
182,Installing Jupyter Notebooks/Anaconda | Python for Beginners,472684,6852,186
183,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,9612,334,21
184,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,7570,336,31
185,When Best Friends Work Together (ft. Luke Barousse),16021,693,84
186,Data Analyst Live Stream | Riding out Hurricane Ian,6777,213,14
187,Full Power BI Guided Project | Microsoft Power BI for Beginners,519597,9672,512
188,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,150774,3241,74
189,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",59882,2174,97
190,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,130482,2775,56
191,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,211273,3246,64
192,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,77508,2068,78
193,Interviewing Ken Jee | The Face of Data Science on YouTube,7314,254,15
194,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,28504,675,130
195,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,252796,4255,88
196,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",20781,877,75
197,250k Subscriber Live Stream!!,4164,157,11
198,How to use DAX in Power BI | Microsoft Power BI for Beginners,268858,5131,220
199,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,22035,617,123
200,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,337895,5684,141
201,Machine Learning Specialization on Coursera | Review,26087,816,63
