,Video_Title,View_Count,Like_Count,Comment_Count
91,Select Statement in MySQL | Beginner MySQL Series,301048,3848,139
92,Installing MySQL and Creating Databases | MySQL for Beginners,877291,11515,1216
93,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,26356,993,12
94,How to Start a Data YouTube Channel,9510,429,47
95,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,5150,239,11
96,Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,18545,691,253
97,Data Analyst vs Business Analyst,110093,6224,46
98,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,32259,856,214
99,#DataAnalysis #DataAnalyst #DataRealities,27690,1723,25
100,#DataAnalyst #DataCareers #DataAnalysis,16992,1296,32
101,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",37078,797,43
102,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,8985,285,21
103,#Salary #DataAnalyst #SalaryNegotiation,13798,959,7
104,AI and Analytics with SAS | SAS Explore Recap,21338,487,31
105,My Very First Video,9159,499,29
106,#DataAnalyst #CareerPath,50964,3616,26
107,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",47057,1150,53
108,#Excel #DataAnalyst #DataAnalysis,15580,1223,20
109,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",46641,1633,101
110,#DataAnalysis #DataAnalyst,20452,1480,23
111,Hard Skills vs Soft Skills in the Data World | Which is More Important?,15512,698,30
112,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",44377,1928,112
113,#DataAnalyst #DataAnalysis #Promotion,10724,633,10
114,#DataAnalyst #DataAnalysis,20487,1383,54
115,Regular Expression Use Cases in Python,10651,253,21
116,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,8495,322,25
117,#DataAnalystSalary #DataAnalysis,43393,3257,48
118,How to Work with Recruiters on LinkedIn,45599,2232,85
119,#dataanalysis #dataportfolio,32236,2829,25
120,#wife #careerchange #dataanalysis,20609,1932,51
121,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,7840,743,46
122,Regular Expression Character Classes in Python,12957,221,13
123,#Recruiters #dataanalysis #data,16638,1143,24
124,Regular Expression Metacharacters in Python,11243,275,9
125,How much do Data Analysts make? #dataanalyst #dataanalystsalary,21586,834,44
126,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,53366,3071,46
127,Regular Expression Methods in Python,18765,400,14
128,What are Hiring Managers Looking For? | Nail the Interview Process!,38678,1433,70
129,Scraping Data from a Real Website | Web Scraping in Python,599699,10757,420
130,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,233399,6581,119
131,Find and Find_All | Web Scraping in Python,81002,2075,36
132,500k Livestream!!,6277,384,24
133,BeautifulSoup + Requests | Web Scraping in Python,191534,3393,71
134,Inspecting Web Pages with HTML | Web Scraping in Python,78759,1930,39
135,Best Places to Find Datasets for Your Projects,198035,5037,94
136,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,173053,3931,224
137,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,10260,365,20
138,What is Microsoft Fabric? | New Data Analytics Platform!,289383,5543,155
139,Data Cleaning in Pandas | Python Pandas Tutorials,385051,9248,453
140,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,58931,1886,52
141,State of AI in Analytics | Will AI be the End of Data Analysts?,46378,1379,378
142,Google Bard Got An Upgrade! + Google's New AI Announcements!,33374,799,80
143,Creating Visualizations using Pandas Library | Python Pandas Tutorials,85473,1889,45
144,Merging DataFrames in Pandas | Python Pandas Tutorials,136223,2956,81
145,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,10317,340,27
146,How to Integrate ChatGPT in Jupyter Notebooks for Free!,63384,1232,60
147,7 Ways to Use ChatGPT for Analytics | Webinar,39254,1079,31
148,Google Business Intelligence Professional Certification Review,45743,1244,73
149,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,157136,4464,408
150,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,108733,2656,129
151,Top 5 Biggest Mistakes Beginner Data Analysts Make,39655,1793,82
152,Indexes in Pandas | Python Pandas Tutorials,69722,1584,50
153,Create the Perfect Data Analyst Resume | Free Templates!,222242,6144,246
154,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,112690,2352,66
155,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,11201,395,33
156,Reading in Files in Pandas | Python Pandas Tutorials,229381,3736,114
157,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,76001,1678,89
158,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,447713,8315,222
159,FREE Data Analyst Bootcamp!!,1848936,45586,1728
160,How to Become a Data Analyst in 2023 (Completely FREE!),1303067,43225,1299
161,Live Portfolio Review with Alex the Analyst!  | Live Webinar,17767,634,23
162,DIY Data Analyst Curriculum using Udemy (Under $75),40943,1471,120
163,Reviewing Maven Analytics Free Portfolio Website,27658,814,48
164,5 Study Hacks for Beginner Data Analysts! | Live Webinar,46566,1359,36
165,DIY Data Analyst Curriculum using Coursera in 2023,64817,3018,222
166,Building a BMI Calculator with Python | Python Projects for Beginners,93801,1917,88
167,"Reading, Writing, and Appending Files in Python | Python for Beginners",10342,303,13
168,Why I Quit my 125k Analytics Job,158066,8720,858
169,Data Analyst Q/A Livestream + Special Guest! | December Livestream,5097,166,15
170,Converting Data Types in Python | Python for Beginners,54529,1457,38
171,Functions in Python | Python for Beginners,82562,1915,40
172,While Loops in Python | Python for Beginners,82916,2070,35
173,For Loops in Python | Python for Beginners,77204,1740,31
174,Data Analyst Q/A Livestream | November Livestream,6300,200,18
175,If Else Statements in Python | Python for Beginners,64982,1622,31
176,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",66287,1671,22
177,Data Types in Python | Python for Beginners,152067,3427,82
178,Data Analyst Q/A Livestream | October Livestream,5731,182,11
179,Variables in Python | Python for Beginners,144525,3068,73
180,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,5275,244,23
181,Installing Jupyter Notebooks/Anaconda | Python for Beginners,470186,6824,186
182,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,9611,334,21
183,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,7566,336,31
184,When Best Friends Work Together (ft. Luke Barousse),16011,693,84
185,Data Analyst Live Stream | Riding out Hurricane Ian,6777,213,14
186,Full Power BI Guided Project | Microsoft Power BI for Beginners,517823,9649,507
187,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,149831,3224,74
188,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",59854,2174,97
189,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,129869,2770,56
190,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,209894,3230,64
191,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,77503,2068,78
192,Interviewing Ken Jee | The Face of Data Science on YouTube,7310,254,15
193,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,28468,675,130
194,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,251263,4239,88
195,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",20772,877,75
196,250k Subscriber Live Stream!!,4164,157,11
197,How to use DAX in Power BI | Microsoft Power BI for Beginners,267137,5102,219
198,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,22035,617,123
199,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,335286,5653,141
200,Machine Learning Specialization on Coursera | Review,26072,814,63
201,Meta Marketing Analytics Professional Certificate on Coursera | Review,38552,992,104
202,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,45716,1640,134
