video_id,title,published_at,views,likes,comments,tags,duration_seconds
zmIdC0_0BgY,For Loops in Python | Python for Beginners,2022-11-22T12:00:48Z,80656,1808,32,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'for loops in python', 'for loops', 'how to use for loops', 'how to use for loops in python', 'python for loops', 'for loop', 'for loop in python']",557
eP8-mo5jRrY,Data Analyst Q/A Livestream | November Livestream,2022-11-16T02:06:22Z,6308,199,18,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",3737
-BOBedcjySI,If Else Statements in Python | Python for Beginners,2022-11-15T12:00:00Z,67550,1669,31,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'if statements in python', 'if else statements in python', 'if/else statements in python', 'python if else statements', 'if else statements', 'if/else statements', 'if/else python', 'python if/else']",400
lPVke-p4S7s,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08T12:00:35Z,68587,1712,22,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'operators in python', 'logical operators in python', 'python operators', 'membership operators in python', 'comparison operators in python', 'python logical operators', 'python membership operators', 'python comparison operators', 'python for beginners']",435
ppsCxnNm-JI,Data Types in Python | Python for Beginners,2022-11-01T11:00:37Z,158288,3544,83,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Data Types', 'Data Types in Python', 'Python Data Types', 'Types of data in python']",1318
rVhHGPDzEck,Data Analyst Q/A Livestream | October Livestream,2022-10-31T01:22:29Z,5741,182,11,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",4498
pHOH7UfOhbE,Variables in Python | Python for Beginners,2022-10-25T11:00:27Z,149421,3152,73,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python variables', 'variables in python', 'how to use variables', 'how to use variables in python', 'variables']",797
sXHIIW3Wt84,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19T10:56:23Z,5276,243,23,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",5064
WUeBzT43JyY,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18T11:00:30Z,486718,7017,188,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python for beginners', 'how to install jupyter notebooks', 'how to install anaconda', 'how to use python', 'python']",603
DVs9u15htXU,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13T11:00:07Z,9626,333,21,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Tina Huang', 'Tina Huang YouTube', 'Tina Huang Interview', 'Interviewing Tina Huang']",1326
zW3qJUeJLWc,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11T11:00:42Z,7590,335,31,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Luke barrouse', 'luke barrouse data', 'luke barousse data analyst', 'luke barrouse interview', 'interviewing luke barousse']",1466
m1AkWK_ODLM,When Best Friends Work Together (ft. Luke Barousse),2022-10-04T10:30:09Z,16078,694,84,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'working with friends', 'when best friends work together']",335
Pfq-8pGzgg4,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01T01:48:31Z,6783,212,8,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",5588
pixlHHe_lNQ,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27T10:30:19Z,529771,9841,518,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'full project in power bi', 'power bi project', 'full power bi project', 'real project in power bi', 'power bi real project', 'power bi', 'power bi tutorial', 'how to use power bi', 'power bi guided project', 'guided project in power bi']",2557
3NV5Jtbhfcw,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20T10:30:00Z,155832,3332,72,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'power bi', 'power bi tutorial', 'how to use power bi', 'power bi visualization', 'power bi visualizations', 'different visualizations in power bi', 'popular visualizations in power bi']",854
1cfrQLoJMPI,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13T10:30:00Z,60053,2178,96,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'portfolio projects', 'portfolio projects for data analysts', 'data analyst portfolio projects', 'data science portfolio project', 'coursera guided projects', 'coursera portfolio projects']",501
9j_EBt3RNrs,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06T10:30:02Z,133671,2825,56,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Bins and Lists', 'Power BI Bins', 'Power BI Lists', 'How to use bins', 'how to use bins in power bi', 'how to use lists in power bi', 'power bi bins and lists']",571
m0h3Ghl6mgY,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30T10:30:10Z,217875,3318,65,"['Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'conditional formatting', 'conditional formatting in power bi', 'how to use conditional formatting in power bi', 'power bi conditional formatting', 'power bi tutorials', 'power bi tutorials for beginners']",594
50D__p6jdEI,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24T16:15:29Z,77526,2067,78,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",4249
tRCGGlMI19M,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23T10:30:19Z,7341,255,15,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Ken Jee', 'Ken Jee interview', 'Ken jee data science', 'ken jee youtube', 'ken jee data', 'interviewing ken jee']",1735
